violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Failure to provide blood sample (drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,8,0,0,8,2015,Other,Adult,31615827,-4
Failure to provide blood sample (drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,1,0,0,1,2015,Other,Adult,31615827,-4
Failure to provide blood sample (drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,6,0,0,6,2015,Other,Adult,31615827,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,586,227,1518,2331,2016,Possession,Youth,2528132,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,2718,757,4624,8099,2016,Possession,Youth,2528132,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,1714,164,1997,3875,2016,Possession,Adult,31615827,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,9465,1033,9238,19736,2016,Possession,Adult,31615827,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,1439,63,992,2494,2016,Possession,Adult,31615827,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,7844,370,5161,13375,2016,Possession,Adult,31615827,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,1241,57,837,2135,2016,Possession,Adult,31615827,-3
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,6251,184,4210,10645,2016,Possession,Adult,31615827,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,131,23,22,176,2016,Trafficking,Youth,2528132,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,616,65,116,797,2016,Trafficking,Youth,2528132,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,428,2,27,457,2016,Trafficking,Adult,31615827,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,2171,19,92,2282,2016,Trafficking,Adult,31615827,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,418,1,15,434,2016,Trafficking,Adult,31615827,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,1837,1,89,1927,2016,Trafficking,Adult,31615827,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,493,0,28,521,2016,Trafficking,Adult,31615827,-3
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,1919,1,115,2035,2016,Trafficking,Adult,31615827,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,0,0,0,0,2016,Importation-exportation,Youth,2528132,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,0,0,7,7,2016,Importation-exportation,Youth,2528132,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,9,0,19,28,2016,Importation-exportation,Adult,31615827,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,33,0,50,83,2016,Importation-exportation,Adult,31615827,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,2,0,26,28,2016,Importation-exportation,Adult,31615827,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,13,0,80,93,2016,Importation-exportation,Adult,31615827,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,6,0,34,40,2016,Importation-exportation,Adult,31615827,-3
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,18,0,100,118,2016,Importation-exportation,Adult,31615827,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,5,0,3,8,2016,Production and cultivation,Youth,2528132,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,17,3,13,33,2016,Production and cultivation,Youth,2528132,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,66,0,10,76,2016,Production and cultivation,Adult,31615827,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,176,4,50,230,2016,Production and cultivation,Adult,31615827,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,110,0,12,122,2016,Production and cultivation,Adult,31615827,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,417,2,84,503,2016,Production and cultivation,Adult,31615827,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,253,4,76,333,2016,Production and cultivation,Adult,31615827,-3
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,951,5,245,1201,2016,Production and cultivation,Adult,31615827,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,0,0,0,0,2016,Trafficking,Youth,2528132,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,0,0,0,0,2016,Trafficking,Youth,2528132,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,1,0,0,1,2016,Trafficking,Adult,31615827,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,2,0,0,2,2016,Trafficking,Adult,31615827,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,3,0,0,3,2016,Trafficking,Adult,31615827,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,9,0,1,10,2016,Trafficking,Adult,31615827,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,5,0,1,6,2016,Trafficking,Adult,31615827,-3
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,4,0,0,4,2016,Trafficking,Adult,31615827,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Possession,Adult,31615827,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Possession,Adult,31615827,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Possession,Adult,31615827,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Possession,Adult,31615827,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Possession,Adult,31615827,-3
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Possession,Adult,31615827,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Possession,Youth,2528132,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Production and cultivation,Youth,2528132,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Production and cultivation,Adult,31615827,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Distribution of cannabis by organization,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to adult,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to youth,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Sale of cannabis to an organization,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Trafficking,Youth,2528132,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Possession of cannabis for purpose of selling,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Trafficking,Adult,31615827,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Importation-exportation,Youth,2528132,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Importation-exportation,Youth,2528132,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Female,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",18 to 24,Male,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Female,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",25 to 34,Male,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",35 to 110,Female,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Importation and exportation of cannabis,Canada,"January 1st, 2016 to December 31st, 2016",35 to 89,Male,NA,NA,NA,NA,2016,Importation-exportation,Adult,31615827,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Female,NA,NA,NA,NA,2016,Importation-exportation,Youth,2528132,-3
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2016 to December 31st, 2016",12 to 17,Male,NA,NA,NA,NA,2016,Importation-exportation,Youth,2528132,-3
